hs_code,chapter,heading,description,unit,cd,rd,sd,vat,ait,at,tti_published
0101.21.00,01,0101,Pure-bred breeding animals of horses..,,5.0,0.0,0.0,0.0,5.0,0.0,10.0
0101.29.00,01,0101,Other horses,,5.0,0.0,0.0,0.0,5.0,0.0,10.0
0101.30.00,01,0101,Asses,,5.0,0.0,0.0,0.0,5.0,0.0,10.0
0101.90.00,01,0101,"LIVE HORSES,ASSES,MULES AND HINNIES,NES",,5.0,0.0,0.0,0.0,5.0,0.0,10.0
0102.21.00,01,0102,Pure-bred breeding animals of cattle,,0.0,0.0,0.0,0.0,2.0,0.0,2.0
0102.29.00,01,0102,Other cattle,,0.0,0.0,0.0,0.0,2.0,0.0,2.0
0102.31.00,01,0102,Pure-bred breeding animals of buffalo,,0.0,0.0,0.0,0.0,2.0,0.0,2.0
0102.39.00,01,0102,Other buffalo,,0.0,0.0,0.0,0.0,2.0,0.0,2.0
0102.90.10,01,0102,Other pure-bred breeding animals,,0.0,0.0,0.0,0.0,2.0,0.0,2.0
0102.90.90,01,0102,Other live bovine animal,,0.0,0.0,0.0,0.0,2.0,0.0,2.0
0103.10.00,01,0103,Live Pure-Bred Breeding Swine,,5.0,0.0,0.0,0.0,5.0,0.0,10.0
0103.91.00,01,0103,Live Swine Weighing <50kg (Excl. Pure-Bred Breeding),,5.0,0.0,0.0,0.0,5.0,0.0,10.0
0103.92.00,01,0103,Live Swine Weighing >=50kg (Excl. Pure-Bred Breeding),,5.0,0.0,0.0,0.0,5.0,0.0,10.0
0104.10.00,01,0104,Live sheep,,5.0,0.0,0.0,0.0,5.0,0.0,10.0
0104.20.00,01,0104,Live Goats,,5.0,0.0,0.0,0.0,5.0,0.0,10.0
0105.11.10,01,0105,Fowls Of The Species Gallus Domestic(Parent Stock One Day Chick),,0.0,0.0,0.0,0.0,2.0,0.0,2.0
0105.11.90,01,0105,"Live Fowls Gallus,Domesticus<=185g, Excl.Parent Stock Of One Day Chick",,25.0,3.0,0.0,0.0,5.0,0.0,33.0
0105.12.10,01,0105,"Live Turkeys Weighing <=185g, (Parent Stock Of One Day Chick)",,0.0,0.0,0.0,0.0,2.0,0.0,2.0
0105.12.90,01,0105,"Live Turkeys Weighing <=185g, (Excl.Parent Stock Of One Day Chick)",,25.0,3.0,0.0,0.0,5.0,0.0,33.0
0105.13.10,01,0105,Parent stock of one day chick of ducks,,0.0,0.0,0.0,0.0,2.0,0.0,2.0
0105.13.90,01,0105,Other ducks,,25.0,3.0,0.0,0.0,5.0,0.0,33.0
0105.14.10,01,0105,Parent stock of one day chick of geese,,0.0,0.0,0.0,0.0,2.0,0.0,2.0
0105.14.90,01,0105,Other Geese,,25.0,3.0,0.0,0.0,5.0,0.0,33.0
0105.15.10,01,0105,Parent stock of one day chick of guinea fowls,,0.0,0.0,0.0,0.0,2.0,0.0,2.0
0105.15.90,01,0105,Other fowls,,25.0,3.0,0.0,0.0,5.0,0.0,33.0
0105.94.00,01,0105,Fowls of the species Gallus domesticus,,25.0,3.0,0.0,0.0,5.0,0.0,33.0
0105.99.00,01,0105,"Live Ducks, Geese, Turkeys And Guinea Fowls Weighing >185g",,25.0,3.0,0.0,0.0,5.0,0.0,33.0
0106.11.00,01,0106,"MAMMALS, PRIMATES",,5.0,0.0,0.0,0.0,5.0,0.0,10.0
0106.13.00,01,0106,Camels and other camelids ( Camelidae),,5.0,0.0,0.0,0.0,5.0,0.0,10.0
0106.14.00,01,0106,Rabbits and hares,,5.0,0.0,0.0,0.0,5.0,0.0,10.0
0106.19.00,01,0106,"MAMMALS, NES",,5.0,0.0,0.0,0.0,5.0,0.0,10.0
0106.20.00,01,0106,REPTILES (INCLUDING SNAKES AND TURTLES),,5.0,0.0,0.0,0.0,5.0,0.0,10.0
0106.31.00,01,0106,BIRDS OF PREY,,25.0,3.0,0.0,0.0,5.0,0.0,33.0
0106.32.00,01,0106,"PSITTACIFORMES (INCLUDING PARROTS, PARAKEETS, MACAWS AND COCKATOOS)",,25.0,3.0,0.0,0.0,5.0,0.0,33.0
0106.33.00,01,0106,Ostriches; emus ( Dromaius novaehollandiae),,25.0,3.0,0.0,0.0,5.0,0.0,33.0
0106.39.00,01,0106,OTHER BIRDS,,25.0,3.0,0.0,0.0,5.0,0.0,33.0
0106.41.00,01,0106,Bees,,0.0,0.0,0.0,0.0,5.0,0.0,5.0
0106.49.00,01,0106,Other Insects,,5.0,0.0,0.0,0.0,5.0,0.0,10.0
0106.90.00,01,0106,"OTHER LIVE ANIMALS, NES",,5.0,0.0,0.0,0.0,5.0,0.0,10.0
