hs_code,chapter,heading,description,unit,cd,rd,sd,vat,ait,at
3901.10.00,39,3901,Polyethylene having a specific gravity of less than 0.94,kg,5,0,0,15,5,5
3901.20.10,39,3901,Black polyethylene imported by VAT registered optical fibre cable manufacturing industry,kg,5,0,0,15,5,5
3901.20.90,39,3901,Other polyethylene having a specific gravity of 0.94 or more,kg,5,0,0,15,5,5
3901.30.00,39,3901,Ethylene-vinyl acetate copolymers,kg,5,0,0,15,5,5
3901.40.00,39,3901,Ethylene-alpha-olefin copolymers having a specific gravity of less than 0.94,kg,5,0,0,15,5,5
3901.90.00,39,3901,Other polymers of ethylene in primary forms,kg,5,0,0,15,5,5
3902.10.00,39,3902,Polypropylene,kg,5,0,0,15,5,5
3902.20.00,39,3902,Polyisobutylene,kg,5,0,0,15,5,5
3902.30.00,39,3902,Propylene copolymers,kg,5,0,0,15,5,5
3902.90.00,39,3902,Other polymers of propylene or of other olefins in primary forms,kg,5,0,0,15,5,5
3903.11.00,39,3903,Expansible polystyrene,kg,5,0,0,15,5,5
3903.19.00,39,3903,Other polystyrene,kg,5,0,0,15,5,5
3903.20.00,39,3903,Styrene-acrylonitrile (SAN) copolymers,kg,5,0,0,15,5,5
3903.30.10,39,3903,Acrylonitrile-butadiene-styrene (ABS) copolymers imported by VAT registered LED lamp manufacturing industry,kg,5,0,0,15,5,5
3903.30.90,39,3903,Other acrylonitrile-butadiene-styrene (ABS) copolymers,kg,5,0,0,15,5,5
